timeOpen,open,high,low,close,volume,marketCap
2024-01-01,165.0230387916,169.6063432205,163.5645724419,169.6058418136,70363490.66,3117152476.1
2024-01-02,169.6326980792,174.1915135815,167.5336814827,167.7867565524,127652129.71,3083797281.17
2024-01-03,167.7807580693,169.5420604179,154.3982612985,154.5763591675,139776300.8,2841062117.52
2024-01-04,154.5899912066,164.7282141897,151.1721720181,164.6814470698,156700149.71,3026861020.56
2024-01-05,164.6835617882,164.7928008344,154.7163843809,155.9042621766,142505652.12,2865603230.9
2024-01-06,155.9088733607,158.6244397973,150.8923700809,152.7184855627,115566927.05,2807112387.1
2024-01-07,152.7250321082,155.1664361759,145.5585839067,146.1233755961,75045189.22,2685954478.38
2024-01-08,146.1257389527,154.004757656,144.0313012337,148.182422601,132272183.62,2723865980.06
2024-01-09,148.1700228339,148.6297374272,142.9147944384,144.3243283042,105887539.94,2653008059.65
2024-01-10,144.3162362129,151.4274464369,143.7843294955,149.0223492111,113385741.13,2739434669.69
2024-01-11,149.068408699,154.6194467254,148.4792756576,152.8424840945,140890853.35,2809726047.21
2024-01-12,152.7501553754,161.8675047673,149.5617911996,151.7983347397,130227725.78,2790595687.37
2024-01-13,151.8014708772,156.4070951421,148.6433591523,155.547774135,89285150.54,2859589294.37
2024-01-14,155.5615833266,159.7424603897,153.1590846433,154.163713619,80484736.81,2834213923.25
2024-01-15,154.1146752041,158.6401170838,153.2977021469,156.8242867383,109454534.54,2883188801.82
2024-01-16,156.8749950839,159.9698149049,153.9172308174,157.4215688848,95139309.21,2894240292.34
2024-01-17,157.3801232574,160.3190779352,155.7222336213,157.6599957026,102683719.31,2898693931.04
2024-01-18,157.6421971934,163.7743239273,151.8144391842,153.0072032568,105190465.92,2813214497.85
2024-01-19,153.028727164,158.7181299819,150.1511897613,158.1585999406,89888194.16,2907997116.8
2024-01-20,158.1668086255,159.4224216305,155.8780381091,156.57269425,78692419.38,2878902541.78
2024-01-21,156.5728128505,163.2023816082,155.183739277,157.4999544141,96097955.84,2896023045.93
2024-01-22,157.5483268021,159.8736473135,149.7320307079,150.665840944,104392987.18,2770425647.51
2024-01-23,150.665840944,154.7393586474,146.603334688,150.2531797038,73484593.76,2762902139.5
2024-01-24,150.2592422873,155.5309030224,148.8986620029,152.5408558605,68408925.58,2805034902.45
2024-01-25,152.5450958437,157.7037559376,151.9954627647,157.4425211684,67740825.96,2895239524.34
2024-01-26,157.425812951,162.2163372123,156.0321762316,159.441229171,78724937.0,2932061385.69
2024-01-27,159.4031671217,161.9222364088,157.5444163571,160.4329738211,48847332.13,2950368967.24
2024-01-28,160.4188351724,162.2913101285,158.9387946363,160.7569938792,55953171.7,2956396288.04
2024-01-29,160.7564656459,169.6618919644,159.9117091991,168.0768624881,81614007.52,3091085509.56
2024-01-30,168.0768624881,171.8936478602,159.9185615275,160.2922119747,89822869.77,2947986547.02
2024-01-31,160.2598681648,166.7060342941,158.4705765017,163.8624797077,93429076.76,3013717823.27
2024-02-01,163.8565283603,169.1148821718,163.7601749958,166.4839406105,89982884.64,3062004197.31
2024-02-02,166.4317514782,171.055964489,165.5562799651,168.6539021592,78864555.61,3101987298.6
2024-02-03,168.7013542657,169.6786367903,162.4820392796,165.3008369598,61447555.63,3040387348.07
2024-02-04,165.2953021116,167.7604893349,164.9827094368,165.7895955262,50184533.1,3049448035.76
2024-02-05,165.794280147,167.8826728305,163.5274870158,165.3558538119,62301595.05,3041545413.68
2024-02-06,165.2949792025,166.5355178953,101.13884916,104.9775183263,294363739.62,1930992598.87
2024-02-07,105.0004441907,133.9156150812,104.1420296119,129.9530536805,248072044.25,2390459590.76
2024-02-08,129.9343457717,131.4575459548,118.2277280515,127.9129124629,123335948.17,2352985644.25
2024-02-09,128.2011088394,129.0678772363,120.0311597483,121.9153402897,106467374.55,2242711017.86
2024-02-10,121.8850045503,123.2961189898,115.560546003,119.2058647702,76698210.85,2192921044.47
2024-02-11,119.2081762749,122.9576745012,117.2791214744,120.6101990524,80624207.72,2218806675.09
2024-02-12,120.6461821568,128.2842731201,118.1917629953,126.2228377753,94789689.54,2322113786.29
2024-02-13,126.3014655369,128.7344196193,122.3719071083,127.8083748804,101751450.36,2351338871.35
2024-02-14,127.8443412173,131.7208377474,126.6112712713,127.8994836211,85826714.06,2353069901.47
2024-02-15,127.9003086884,129.1033420979,124.7743011902,125.8384461825,76833544.84,2315206828.78
2024-02-16,125.8261352521,128.9036357845,120.4410839331,122.7527725599,68839222.45,2258487545.37
2024-02-17,122.7620927327,122.7620927327,118.6387653322,120.8109935273,49581821.52,2222814094.52
2024-02-18,120.9427820344,123.1714299012,118.8880451964,122.1873860084,56685674.67,2248189800.8
2024-02-19,122.1759279271,123.0067647104,109.6147721608,112.9137668014,88708661.78,2077607989.08
2024-02-20,112.9267326492,125.2234900637,112.2681760378,123.8316409863,61973008.48,2278550522.76
2024-02-21,123.8845878055,125.535940272,116.7547744925,123.0486479975,50491155.84,2264195638.19
2024-02-22,123.1148602088,124.8173682973,121.260739954,124.0431601682,102663822.57,2282548390.09
2024-02-23,124.0361712488,124.587737517,120.8999061039,123.8436258728,93773417.73,2278931102.53
2024-02-24,123.7867904104,125.1417414448,122.0951990764,123.8792395235,92062851.52,2279640563.84
2024-02-25,123.8941044195,129.3518997088,123.0560160591,129.1743074557,597868067.77,2377135521.56
2024-02-26,129.1749116691,129.8892829581,128.4222758723,129.6132781362,53208622.92,2385267279.37
2024-02-27,129.6001943878,130.3502901214,129.5967114676,130.0611962087,72506716.68,2393567729.41
2024-02-28,130.0730053536,139.9464887349,130.0092818665,133.8922826872,65006892.74,2464128805.47
2024-02-29,133.8225080068,141.0065113077,133.2176507711,137.1735663692,66793523.62,2524574966.72
2024-03-01,137.1350898789,145.0318378084,136.4213076441,142.9851226819,67209798.63,2631598459.96
2024-03-02,142.8794193412,145.1745310042,140.1448402413,144.6387424292,56078731.55,2662096449.36
2024-03-03,144.9819458249,151.7434218862,143.7889560042,150.0830351834,65555313.79,2762361018.4
2024-03-04,150.5555130701,151.1174648013,143.5920167456,150.0133050376,74473322.72,2761140419.45
2024-03-05,150.0721413144,151.0046410824,134.5104620376,141.446209755,85810398.79,2603722524.5
2024-03-06,141.4574950989,151.534886417,138.6387456984,143.9291681652,87199566.18,2649281620.67
2024-03-07,143.9291681652,148.7487186207,138.2749067155,144.2815304911,75104194.89,2655829312.86
2024-03-08,144.2814273604,150.9989506459,143.2156673646,147.3660919002,63772090.8,2712670529.87
2024-03-09,147.3660919002,148.9465391951,143.7482906865,143.8351640112,49472433.59,2647748985.84
2024-03-10,143.8356784466,148.563638352,142.3996109896,146.6083106476,52976237.71,2698783951.39
2024-03-11,146.6046205805,146.8327593865,142.6209740948,145.2053053642,74690584.55,2673086118.3
2024-03-12,145.2053053642,147.250682981,142.8503918823,145.1142274539,70751333.38,2671472839.58
2024-03-13,145.1142274539,150.5049212177,144.4173564096,150.2209282878,67768460.51,2765563167.9
2024-03-14,150.2216683978,151.0561786032,140.719476751,146.6106720571,69695576.8,2699144790.79
2024-03-15,146.6106720571,147.4632870797,138.7748458906,142.0350777092,68320296.86,2614967707.57
2024-03-16,142.0350777092,148.7202466009,135.0897231709,139.5149730577,52162540.94,2568630120.25
2024-03-17,139.5149730577,145.2158085932,136.6092487471,140.9946312964,52806847.45,2595936864.89
2024-03-18,140.9946312964,141.6734161709,136.6318528024,141.0384789812,50287932.33,2596803404.74
2024-03-19,141.0384789812,141.3501515188,128.6129791848,133.9916879534,55669000.9,2467115785.12
2024-03-20,133.9916879534,142.718758043,129.3133508485,139.6107732984,59442114.03,2570635988.11
2024-03-21,139.6107732984,144.3041484507,137.7212460493,138.2104251814,58439915.56,2544910426.08
2024-03-22,138.2104251814,140.7510123308,131.274758326,134.7832460289,45802436.78,2481866520.91
2024-03-23,134.7832460289,139.9278239887,133.6042252538,138.9109328775,42375980.14,2557930768.59
2024-03-24,138.9109328775,143.7297912318,138.8507512106,141.8866030051,46383806.73,2612786498.73
2024-03-25,141.8866030051,143.4201773582,139.9115514972,142.5869091888,46518086.22,2625742590.35
2024-03-26,142.5869091888,143.6093310755,133.4520450707,135.327351653,73114758.04,2492117521.82
2024-03-27,135.327351653,141.3416934411,134.212272513,137.9178509252,68147773.34,2539883368.26
2024-03-28,137.9178509252,139.8999383133,134.9119398971,135.0642089533,50342352.63,2487388964.01
2024-03-29,135.0642089533,137.1710193386,129.6564666175,132.5134818468,49952151.21,2440471061.45
2024-03-30,132.5134818468,133.5485115417,126.79547861,129.1215143337,58881074.25,2378055025.64
2024-03-31,129.1215143337,129.8747234351,127.4748801667,128.2857729711,41670191.41,2362718901.5
2024-04-01,128.2858652758,129.3883603419,120.038305636,123.135440112,57048077.24,2267916097.0
2024-04-02,123.135440112,123.600562042,117.0282980737,122.1458718396,58963398.02,2249740724.75
2024-04-03,122.1458718396,129.6856810327,120.2584207956,128.8217021728,60635246.98,2372759164.33
2024-04-04,128.8217021728,132.0582273718,127.559982105,131.6489388825,62135241.19,2424887024.86
2024-04-05,131.6489388825,132.2454308785,125.2204699905,126.760046409,46037390.7,2334891898.48
2024-04-06,126.760046409,132.6934341431,126.7037912325,131.8621908571,35975653.46,2428928675.94
2024-04-07,131.8621908571,135.3009617823,128.5617047648,131.3164814241,43005732.12,2418933008.87
2024-04-08,131.3164814241,136.7606688533,130.2757326664,136.7606688533,56297846.35,2519277396.85
2024-04-09,136.7606688533,139.7999033301,130.1488563724,133.521003681,56606306.89,2459659389.78
2024-04-10,133.521003681,136.7256187576,130.3491968095,133.5820226861,45282438.99,2459943301.6
2024-04-11,133.533471845,135.8094557772,132.0075526429,133.3691611667,42712493.65,2456976077.78
2024-04-12,133.3691611667,134.9539540393,117.2287990098,122.9966522344,53508223.19,2265935333.5
2024-04-13,122.9966522344,128.9997514214,105.4260222461,115.6783288988,49104520.04,2131157294.6
2024-04-14,115.6783288988,123.2542286534,113.1126075383,121.5335328689,51839602.42,2239094927.19
2024-04-15,121.5335328689,127.288728598,117.5484681385,123.2884589071,54461577.78,2271476295.9
2024-04-16,123.2884589071,123.9658640198,114.2843628919,121.8382584385,51834943.77,2244807998.81
2024-04-17,121.8379749235,125.1657487534,116.1861456972,117.1475350967,56017108.89,2158440629.14
2024-04-18,117.1475350967,119.1772312619,112.9075407947,116.4286313023,48262836.64,2145241995.74
2024-04-19,116.4286313023,121.6716269487,110.7734256708,117.048598378,54754141.68,2156655984.43
2024-04-20,117.045354246,122.1750303226,116.5998659763,122.1669212645,34816416.79,2251079928.8
2024-04-21,122.1669212645,125.0856875727,115.9538087638,118.648107452,42316808.8,2186166445.68
2024-04-22,118.6412925935,124.0009578974,118.6247905374,121.1231993417,49875940.66,2231952593.74
2024-04-23,121.1231993417,124.0635275393,120.1482665772,121.452350735,43333346.26,2238069205.24
2024-04-24,121.452350735,122.2157286641,118.2095622031,118.838678959,37672746.69,2189983382.73
2024-04-25,118.8401351103,121.7177471491,116.9643320872,119.9861502052,40036016.89,2211154461.09
2024-04-26,119.9861502052,122.4447689148,119.1379906909,120.3429219589,41040018.9,2217782125.13
2024-04-27,120.3429219589,123.0764670756,118.0512066103,122.7738997435,44429704.39,2262636181.53
2024-04-28,122.7738997435,129.9467071695,121.4773745444,126.5915794031,51842710.55,2333047093.82
2024-04-29,126.5915794031,129.5705844587,122.1185272968,128.8475193508,56912754.87,2374052321.6
2024-04-30,128.8134905843,131.4962975157,117.5950100341,119.3724811282,54513578.9,2200103136.49
2024-05-01,119.3724811282,123.5464285973,116.1631808235,123.5464285973,44685649.79,2277085786.41
2024-05-02,123.5464285973,125.8820088488,120.0439695367,123.1677760346,47242005.46,2270160011.65
2024-05-03,123.1677760346,126.4616996802,121.9055606509,124.9827842534,52444309.55,2303668426.75
2024-05-04,124.9827842534,129.5339690619,122.4467277453,123.3322619674,59402585.05,2273301169.69
2024-05-05,123.332101702,134.4983668166,123.1142563291,134.4184649283,68420933.34,2477693604.37
2024-05-06,134.4181738217,134.5620869233,129.1081991852,130.5115389567,48230918.68,2405742632.09
2024-05-07,130.5115389567,133.3108623711,126.2197106447,127.5738851688,44043411.16,2351646294.63
2024-05-08,127.5738851688,131.8918502991,127.0600919313,131.7309200583,36862265.92,2428322766.86
2024-05-09,131.7309200583,135.1270822201,128.5758845787,132.4220689488,49214167.95,2441130320.01
2024-05-10,132.4220689488,134.1036819737,130.8187381349,132.6914728188,42460829.71,2446152446.31
2024-05-11,132.6914728188,133.4211242719,129.1881400061,131.7875624121,30445589.81,2429546760.68
2024-05-12,131.8149144392,134.7428723487,131.7695202729,133.1869026749,30709358.25,2455405347.56
2024-05-13,133.1869026749,136.9262322797,130.863591405,135.5844855798,44746286.73,2499663861.54
2024-05-14,135.5833292878,135.9722995262,131.8633294518,131.9335069477,40866033.4,2432410888.13
2024-05-15,131.9335069477,136.23453643,130.6917357685,134.7418858975,40987749.88,2484592845.01
2024-05-16,134.7606364959,135.5089214729,130.1848804797,133.9037673036,40503145.65,2468850270.24
2024-05-17,133.9037673036,135.6089059499,132.6468013127,134.9835610621,39209850.71,2488818489.23
2024-05-18,134.9835610621,137.7048109237,134.5632857071,136.1658160142,33617278.59,2510686768.35
2024-05-19,136.166414349,136.2904359152,134.2991704926,134.494663773,29256949.96,2479921562.33
2024-05-20,134.494663773,136.9164731387,134.1071885031,135.0552837041,44083055.11,2490192346.2
2024-05-21,135.0484406929,142.127657962,134.3888077097,136.268032817,74712800.19,2512740232.6
2024-05-22,136.268032817,139.6505997635,135.4797800736,138.5079459706,54151614.94,2554101456.49
2024-05-23,138.5079459706,141.5455469325,137.123595707,138.6449855794,56233008.36,2556689702.1
2024-05-24,138.6449855794,143.9115433282,138.2765626765,141.0109886719,57938053.58,2600407925.96
2024-05-25,141.0125627352,142.4070581909,140.4608791777,141.2981140731,31898845.02,2605737267.67
2024-05-26,141.2981140731,143.7331137413,140.5116131134,142.3371029394,40868073.15,2624959607.73
2024-05-27,142.3371029394,144.1515974343,140.953890783,141.4623367455,48486592.29,2608887731.64
2024-05-28,141.4623367455,144.4872630886,140.9150760613,141.375358888,54907087.17,2607348213.02
2024-05-29,141.375358888,143.520812563,137.4188321541,139.9436376774,44699986.61,2581043878.32
2024-05-30,139.9457964315,147.0178910489,139.8899801474,146.1697111003,66601285.65,2695878269.66
2024-05-31,146.1697111003,148.8739567198,143.7434443403,148.392696174,56663271.7,2736943647.24
2024-06-01,148.3927446288,150.8485984326,147.213439826,148.7840318248,43513085.92,2744225415.58
2024-06-02,148.7840318248,152.7519538634,148.7724625052,152.6875522722,48318664.22,2816291579.94
2024-06-03,152.6875522722,158.1108835518,151.5763134056,154.9576276752,71410729.72,2858227844.03
2024-06-04,154.9576276752,160.0224994733,154.7001164102,159.9528210307,55202906.77,2950437270.7
2024-06-05,159.9528210307,165.2701845742,159.1529357048,163.1555901649,64706612.14,3009588113.87
2024-06-06,163.1561932625,166.3112662832,162.5375553526,165.257811169,59505497.39,3048433365.4
2024-06-07,165.2578533969,174.5027515303,153.6965409548,154.1519106715,79386290.89,2843600844.64
2024-06-08,154.1433475658,169.4641262884,154.1433475658,169.4641262884,61300402.51,3126061367.32
2024-06-09,169.3976478346,175.2850451826,166.690945093,173.8992497151,103877890.16,3207874954.11
2024-06-10,173.9937653175,181.346154116,173.9937653175,178.4668572769,132931888.66,3292132441.83
2024-06-11,178.4719092131,180.6010830275,167.9098150346,174.5311684965,111783250.93,3219531798.15
2024-06-12,174.5970141345,182.2544122343,174.2175886456,180.7666213033,92485908.83,3334555600.26
2024-06-13,180.7594620359,181.2927756815,171.6548544837,171.8882064723,88826328.38,3170777754.09
2024-06-14,171.8723756089,176.6988568658,164.2137820463,170.5733009079,73790923.08,3146522027.66
2024-06-15,170.5885346049,177.9253269318,169.297394765,177.4614431721,51691415.31,3273585825.15
2024-06-16,177.4126978723,177.9601076562,172.5376326519,177.2930162422,44876100.54,3270478896.68
2024-06-17,177.2468575841,178.0352041307,171.1654281239,174.1861273754,63544952.5,3213166912.89
2024-06-18,174.1500127414,174.4120355082,166.7151228311,169.7933469685,60384645.24,3132134416.95
2024-06-19,169.7782846307,172.0700420441,166.8924005581,168.2119627595,52142381.01,3102963027.17
2024-06-20,168.2119627595,172.186172673,167.3541839262,169.8716684337,44296920.51,3133579192.98
2024-06-21,169.8696520578,172.8188694919,158.2298006718,160.2049267706,53535041.81,2955259283.49
2024-06-22,160.1764709934,167.7421748803,160.1764709934,166.7605657571,29184679.59,3076189478.11
2024-06-23,166.7189335525,168.0740009147,161.5054216835,164.1797753464,28401217.59,3028582297.9
2024-06-24,164.2180387504,167.2282511068,155.9952432424,159.0218058785,62594009.31,2933434555.18
2024-06-25,159.0170574764,164.7002999912,158.679643219,162.6586504415,43432461.95,3000522496.07
2024-06-26,162.2632449547,166.1926675711,161.7748765757,164.5318029293,38362980.34,3035076060.63
2024-06-27,164.5356663061,167.0602940078,164.0009790412,165.7901018761,35329669.05,3058287579.27
2024-06-28,165.7943724641,168.3518075306,165.6971175063,167.6156002216,44958989.03,3091962080.05
2024-06-29,167.6066462683,167.9651690597,164.9466171749,165.0914449023,38664696.48,3045399632.88
2024-06-30,165.126362452,169.4895559894,165.0947863302,167.9201276675,39066088.71,3097579619.91
